Társasjáték neve,Társasjáték ID,Alapjáték?,"Az alapjáték, ha kiegészítő lenne",Az alapjáték iD-ja,A Játék nyelve,A játék nyelvüggetlen,Van hozzá magyar szabály,Minimális játékosszám,Maximális játékosszám,Kiadás éve,Kiadó,Megjegyzés,Szerző
tarsasjatekNev,tarsasjatekID,alapjatek,alapjatekNev,alapjatekID,jatekNyelv,nyelvfuggetlen,magyarJatekszabaly,minJatekos,maxJatekos,kiadasEv,kiado,megjegyzes,szerzo
Ganz Schön Clever – Egy okos húzás,066,igen,,,magyar,igen,igen,1,4,,Schmidt,,Wolfgang Warsch
Grillparti,067,igen,,,magyar,igen,igen,2,6,,Reflexshop,,
Gyémántvadászok,068,igen,,,magyar,igen,igen,3,8,,,,
Gyümi,069,igen,,,magyar,igen,igen,1,6,,Vagabund,,
Hadrianus Fala,070,igen,,,magyar,nem,igen,1,6,,,,
Harry Potter: A halálfalók felemelkedése,071,igen,,,magyar,igen,igen,2,4,,,,
Harry Potter: Roxforti Csata,072,igen,,,magyar,nem,igen,2,4,,,,
Harry Potter: Roxforti Csata – Bűbájok és Bájitalok,073,nem,Harry Potter: Roxforti Csata,072,magyar,nem,igen,2,5,,,,
Harry Potter: Roxforti Csata – Szörnyek szörnyű könyve,074,nem,Harry Potter: Roxforti Csata,072,magyar,nem,igen,2,4,,,,
Homályrév – Apró kalandok,075,igen,,,magyar,nem,igen,1,1,,,,
ICECOOL2,076,igen,,,angol,igen,igen,2,4,,,,
Ide a szfinxet,077,igen,,,magyar,nem,igen,2,6,,Novoplast,,
Indián nyár,078,igen,,,magyar,igen,igen,1,4,,,,
Jungle Speed,079,igen,,,magyar,igen,igen,2,10,,,,
Kapocsváros,080,igen,,,magyar,igen,igen,2,6,,,,
Kartográfusok,081,igen,,,magyar,igen,igen,1,100,,,,
Kartográfusok: A felfedezések kora térképcsomag,082,nem,Kartográfusok,081,magyar,igen,igen,1,100,,,,
Kartográfusok: Affril térképcsomag – A tudás síkja,083,nem,Kartográfusok,081,magyar,igen,igen,1,100,,,,
Kartográfusok: Fagyvidék térképcsomag – A fagyóriások birodalma,084,nem,Kartográfusok,081,magyar,igen,igen,1,100,,,,
Kartográfusok: Földmélye térképcsomag – Sabek járatai,085,nem,Kartográfusok,081,magyar,igen,igen,1,100,,,,
Kartográfusok: Hősök,086,igen,,,magyar,igen,igen,1,100,,,,
Kartográfusok: Kethra sztyeppéje térképcsomag – Rőtagyar & Aranybendő,087,nem,Kartográfusok,081,magyar,igen,igen,1,100,,,,
Kartográfusok: Kürtszurdok térképcsomag - A pusztaság piaca,088,nem,Kartográfusok,081,magyar,igen,igen,1,100,,,,
Kartográfusok: Nebblis térképcsomag – A láng síkja,089,nem,Kartográfusok,081,magyar,igen,igen,1,100,,,,
Kérdezz! Felelek Gyerekeknek,090,igen,,,magyar,nem,igen,2,6,,,,
Királyi áru: Big Box,091,igen,,,magyar,igen,igen,1,4,,,,
Klank! – Katakombák,092,igen,,,magyar,nem,igen,2,4,,Reflexshop,,
Klask,093,igen,,,magyar,igen,igen,2,2,,Reflexshop,,
