tarsasjatekNev;tarsasjatekID;alapjatek;alapjatekNev;alapjatekID;jatekNyelv;nyelvfuggetlen;magyarJatekszabaly;minJatekos;maxJatekos;kiadasEv;kiado;megjegyzes;szerzo
Kartográfusok: Kethra sztyeppéje térképcsomag – Rőtagyar & Aranybendő;070;nem;Kartográfusok;064;magyar;igen;igen;1;100;;;;
Kartográfusok: Kürtszurdok térképcsomag - A pusztaság piaca;071;nem;Kartográfusok;064;magyar;igen;igen;1;100;;;;
Kartográfusok: Nebblis térképcsomag – A láng síkja;072;nem;Kartográfusok;064;magyar;igen;igen;1;100;;;;
Kérdezz! Felelek Gyerekeknek;073;igen;;;magyar;nem;igen;2;6;;;;
Királyi áru: Big Box;074;igen;;;magyar;igen;igen;1;4;;;;
Klank! – Katakombák;075;igen;;;magyar;nem;igen;2;4;;Reflexshop;;
Klask;076;igen;;;magyar;igen;igen;2;2;;Reflexshop;;
Kockanári;077;igen;;;magyar;igen;igen;2;5;;Reflexshop;;
Kubb;078;igen;;;angol;igen;igen;2;10;;Bex;;
KuZOOkA;079;igen;;;angol;nem;igen;2;6;;;;
Kütyük;080;igen;;;magyar;igen;igen;2;4;;Delta Vision;;
Labyrinth: Das verrückte Labyrinth;081;igen;;;német;igen;igen;2;4;;;;
Liget;082;igen;;;magyar;igen;igen;1;1;;;;
Macska Mancs Brancs;083;igen;;;magyar;igen;igen;1;+;;;;
Macskafogó;084;igen;;;magyar;igen;igen;2;4;;Novoplast;;
Magyar népmesék – A kártyajáték;085;igen;;;magyar;igen;igen;2;8;;;;Lenhard Balázs
Magyar népmesék: A társasjáték;086;igen;;;magyar;nem;igen;2;6;;;;
Magyar népmesék: Hetedhét mese;087;nem;Magyar népmesék: A társasjáték;086;magyar;nem;igen;2;6;;;;
Mandala kövek;088;igen;;;magyar;igen;igen;2;4;;;;
Második esély;089;igen;;;magyar;igen;igen;1;6;;compaya.hu;;Uwe Rosenberg
Menara;090;igen;;;angol;igen;igen;1;4;;;;
Menara: Rituals & Ruins;091;nem;;;angol;igen;igen;1;4;;;;
Mesebeli Birodalmak;092;igen;;;magyar;nem;igen;2;6;;;;
Mikádó;093;igen;;;magyar;igen;igen;1;4;;;;
Mölkky;094;igen;;;magyar;igen;igen;1;100;;Tactic;;
Munchkin;095;igen;;;magyar;nem;igen;3;6;2022;Delta Vision;Nyolcadik kiadás;
My City – Roll & Build;096;igen;;;angol;nem;nem;1;6;;Kosmos;;Reiner Knizia
Nemeton;097;igen;;;német;igen;igen;2;4;;;;
Nova Luna;098;igen;;;angol;igen;igen;1;4;;;;
Okanagan: Valley of the Lakes;099;igen;;;angol;igen;igen;2;4;;;;
Osztályharc: Az 1917-es forradalmak;100;igen;;;magyar;igen;igen;1;2;;;;
Pagony;101;igen;;;magyar;igen;igen;1;1;;;;
Patchwork Doodle;102;igen;;;angol;igen;igen;1;6;;LookOut Games;;Uwe Rosenberg
Patchwork: 10 éves jubileumi kiadás;103;igen;;;magyar;igen;igen;1;2;;;;
Police 07;104;igen;;;magyar;igen;igen;3;6;1986;Novoplast;;
Police 07 Reloade -Second edition;105;igen;;;magyar;igen;igen;3;6;2015;;;
Race to the North Pole;106;igen;;;angol;igen;igen;2;4;;;;
Raiders of the North Sea;107;igen;;;angol;nem;igen;2;4;;;;
Raiders of the North Sea: Hall of Heroes;108;nem;Raiders of the North Sea;107;angol;nem;igen;2;5;;;;
Rallyman: GT;109;igen;;;magyar;igen;igen;1;6;;Delta Vision;;
Ramses II.;110;igen;;;német;igen;igen;2;5;1997;;;
Remény Hadművelet;111;igen;;;magyar;igen;igen;2;5;;Reflexshop;;
Schweinsgalopp;112;igen;;;német;igen;igen;2;5;;;;
Star Wars: A Hoth ostroma;113;igen;;;magyar;nem;igen;2;4;2025;Gémklub;;
Star Wars: Lázadás;114;igen;;;magyar;nem;igen;2;4;;;;
Star Wars: Lázadás – A birodalom Felemelkedése;115;nem;Star Wars: Lázadás;114;magyar;nem;igen;2;4;;;;
Stone Age: Jubileum;116;igen;;;magyar;igen;igen;2;4;;;;
Stratego;117;igen;;;multi;igen;nem;2;2;1980;Jumbo multilingual edition 1980 ;;
Sushi GO!;118;igen;;;magyar;igen;igen;2;5;;Reflexshop;;Phil Walker-Harding
Szabadulópakli: Szökés Alcatrazból;119;igen;;;magyar;nem;igen;1;6;;;;
Tábortűz;120;igen;;;magyar;igen;igen;2;6;;Reflexshop;;
Taluva;121;igen;;;angol;igen;igen;2;4;;;;
Taluva: Extension;122;nem;;;angol;igen;igen;2;5;;;;
The Castles of Burgundy;123;igen;;;angol;igen;igen;1;4;;;;
The Castles of Burgundy: Special Edition;124;igen;;;angol;igen;igen;1;4;;;;
The Castles of Burgundy: Special Edition – Acrylic Hexes;125;nem;The Castles of Burgundy: Special Edition;124;angol;igen;igen;1;4;;;;
The Castles of Burgundy: Special Edition – Acrylic Tiles;126;nem;The Castles of Burgundy: Special Edition;124;angol;igen;igen;1;4;;;;
The Castles of Burgundy: The Dice Game;127;igen;;;angol;igen;igen;1;5;;;;Stefan Feld, Chr. Toussaint
Tikal;128;igen;;;multi;igen;igen;2;4;;;;
Tucano;129;igen;;;magyar;igen;igen;2;4;;;;
Turing Machine;130;igen;;;magyar;nem;igen;1;4;;;;
Vasútvonal – Sötétkék kiadás;131;igen;;;magyar;igen;igen;1;6;;Delta Vision;;
Vasútvonal – Tűzvörös kiadás;132;igen;;;magyar;igen;igen;1;6;;Delta Vision;;
Vasútvonal kihívás – Bujazöld kihívás;133;igen;;;magyar;igen;igen;1;6;;Delta Vision;;
Velonimo;134;igen;;;magyar;igen;igen;2;5;;Reflexshop;;
Vigyáz(z) 6!;135;igen;;;magyar;igen;igen;2;10;;;;
Virágoskert;136;igen;;;magyar;igen;igen;1;4;;;;
Vörös 7 – Print and play;137;igen;;;angol;igen;igen;2;4;;;;
Worms the board game – Collector’s Edition;138;igen;;;angol;nem;igen;2;6;;;;
Tobago;139;igen;;;angol;igen;igen;2;4;;;;
A Mars terraformálása;140;igen;;;magyar;nem;igen;1;5;;Reflexshop;;
