tarsasjatekNev;tarsasjatekID;alapjatekNev;alapjatekID;jatekNyelv;nyelvfuggetlen;magyarJatekszabaly;minJatekos;maxJatekos;kiadasEv;kiado;megjegyzes;szerzo
Királyi áru: Big Box;075;;;magyar;igen;igen;1;4;;;;
Klank! – Katakombák;076;;;magyar;nem;igen;2;4;;Reflexshop;;
Klask;077;;;magyar;igen;igen;2;2;;Reflexshop;;
Kockanári;078;;;magyar;igen;igen;2;5;;Reflexshop;;
Kubb;079;;;angol;igen;igen;2;10;;Bex;;
KuZOOkA;080;;;angol;nem;igen;2;6;;;;
Kütyük;081;;;magyar;igen;igen;2;4;;Delta Vision;;
Labyrinth: Das verrückte Labyrinth;082;;;német;igen;igen;2;4;;;;
Liget;083;;;magyar;igen;igen;1;1;;;;
Macska Mancs Brancs;084;;;magyar;igen;igen;1;+;;;;
Macskafogó;085;;;magyar;igen;igen;2;4;;Novoplast;;
Magyar népmesék – A kártyajáték;086;;;magyar;igen;igen;2;8;;;;Lenhard Balázs
Magyar népmesék: A társasjáték;087;;;magyar;nem;igen;2;6;;;;
Magyar népmesék: Hetedhét mese;088;Magyar népmesék: A társasjáték;087;magyar;nem;igen;2;6;;;;
Mandala kövek;089;;;magyar;igen;igen;2;4;;;;
Második esély;090;;;magyar;igen;igen;1;6;;compaya.hu;;Uwe Rosenberg
Menara;091;;;angol;igen;igen;1;4;;;;
Menara: Rituals & Ruins;092;;;angol;igen;igen;1;4;;;;
Mesebeli Birodalmak;093;;;magyar;nem;igen;2;6;;;;
Mikádó;094;;;magyar;igen;igen;1;4;;;;
Mölkky;095;;;magyar;igen;igen;1;100;;Tactic;;
Munchkin;096;;;magyar;nem;igen;3;6;2022;Delta Vision;Nyolcadik kiadás;
My City – Roll & Build;097;;;angol;nem;nem;1;6;;Kosmos;;Reiner Knizia
Nemeton;098;;;német;igen;igen;2;4;;;;
Nova Luna;099;;;angol;igen;igen;1;4;;;;
Okanagan: Valley of the Lakes;100;;;angol;igen;igen;2;4;;;;
Osztályharc: Az 1917-es forradalmak;101;;;magyar;igen;igen;1;2;;;;
Pagony;102;;;magyar;igen;igen;1;1;;;;
Patchwork Doodle;103;;;angol;igen;igen;1;6;;LookOut Games;;Uwe Rosenberg
Patchwork: 10 éves jubileumi kiadás;104;;;magyar;igen;igen;1;2;;;;
Police 07;105;;;magyar;igen;igen;3;6;1986;Novoplast;;
Police 07 Reloade -Second edition;106;;;magyar;igen;igen;3;6;2015;;;
Race to the North Pole;107;;;angol;igen;igen;2;4;;;;
Raiders of the North Sea;108;;;angol;nem;igen;2;4;;;;
Raiders of the North Sea: Hall of Heroes;109;Raiders of the North Sea;108;angol;nem;igen;2;5;;;;
Rallyman: GT;110;;;magyar;igen;igen;1;6;;Delta Vision;;
Ramses II.;111;;;német;igen;igen;2;5;1997;;;
Remény Hadművelet;112;;;magyar;igen;igen;2;5;;Reflexshop;;
Schweinsgalopp;113;;;német;igen;igen;2;5;;;;
Star Wars: A Hoth ostroma;114;;;magyar;nem;igen;2;4;2025;Gémklub;;
Star Wars: Lázadás;115;;;magyar;nem;igen;2;4;;;;
Star Wars: Lázadás – A birodalom Felemelkedése;116;Star Wars: Lázadás;115;magyar;nem;igen;2;4;;;;
Stone Age: Jubileum;117;;;magyar;igen;igen;2;4;;;;
Stratego;118;;;multi;igen;nem;2;2;1980;Jumbo multilingual edition 1980 ;;
Sushi GO!;119;;;magyar;igen;igen;2;5;;Reflexshop;;Phil Walker-Harding
Szabadulópakli: Szökés Alcatrazból;120;;;magyar;nem;igen;1;6;;;;
Tábortűz;121;;;magyar;igen;igen;2;6;;Reflexshop;;
Taluva;122;;;angol;igen;igen;2;4;;;;
Taluva: Extension;123;;;angol;igen;igen;2;5;;;;
The Castles of Burgundy;124;;;angol;igen;igen;1;4;;;;
The Castles of Burgundy: Special Edition;125;;;angol;igen;igen;1;4;;;;
The Castles of Burgundy: Special Edition – Acrylic Hexes;126;The Castles of Burgundy: Special Edition;125;angol;igen;igen;1;4;;;;
The Castles of Burgundy: Special Edition – Acrylic Tiles;127;The Castles of Burgundy: Special Edition;125;angol;igen;igen;1;4;;;;
The Castles of Burgundy: The Dice Game;128;;;angol;igen;igen;1;5;;;;Stefan Feld, Chr. Toussaint
Tikal;129;;;multi;igen;igen;2;4;;;;
Tucano;130;;;magyar;igen;igen;2;4;;;;
Turing Machine;131;;;magyar;nem;igen;1;4;;;;
Vasútvonal – Sötétkék kiadás;132;;;magyar;igen;igen;1;6;;Delta Vision;;
Vasútvonal – Tűzvörös kiadás;133;;;magyar;igen;igen;1;6;;Delta Vision;;
Vasútvonal kihívás – Bujazöld kihívás;134;;;magyar;igen;igen;1;6;;Delta Vision;;
Velonimo;135;;;magyar;igen;igen;2;5;;Reflexshop;;
Vigyáz(z) 6!;136;;;magyar;igen;igen;2;10;;;;
Virágoskert;137;;;magyar;igen;igen;1;4;;;;
Vörös 7 – Print and play;138;;;angol;igen;igen;2;4;;;;
Worms the board game – Collector’s Edition;139;;;angol;nem;igen;2;6;;;;
